name,rating,minimum_clean,description_clean,primary_cuisine_group
Restaurant Piratino,4.6,50.0,"snacks, italienische pizza",european
ZFC Zurich Fried Chicken,4.4,40.0,"hühnchen, burger",american
McDonald's® Zürich Stadelhofen,4.4,20.0,"amerikanisch, burger",american
Delhihouse Bistro,3.3,20.0,"indisch, frühstück",asian
LA CASA DE KIOSK,5.0,40.0,"lebensmittel, angebote",grocery_retail
Ristorante Rosengarten,4.7,100.0,"italienisch, indisch",asian
Steakhouse Texas Zürich,4.1,20.0,mexikanisch,latin
Original Kebab Haus,3.8,25.0,"kebab, angebote",middle_eastern
Restaurant Mesob,4.9,20.0,afrikanisch,african
Shell mio Shop,4.3,0.0,"frühstück, lebensmittel",grocery_retail
Flash Bistro Take-Away,4.5,20.0,"italienische pizza, kebab",middle_eastern
Les delice d'Orient,3.6,20.0,"libanesisch, falafel",middle_eastern
nytstore ZH,5.0,42.0,"lebensmittel, angebote",grocery_retail
BURGER KING ® Europaallee,4.0,18.0,"amerikanisch, burger",american
SOD Restaurant,4.7,25.0,"thailändisch, asiatisch",asian
Amaras Restaurant,4.3,80.0,"italienische pizza, kebab",middle_eastern
Im Guet - Pizza & Pasta Kurier,4.9,60.0,"italienisch, italienische pizza",european
Traum Pizza & Kebab,4.3,25.0,"snacks, italienische pizza",european
Burger & Shakes,4.2,25.0,"amerikanisch, burger",american
Toros Imbiss,4.4,25.0,"türkische pizza, kebab",middle_eastern
Tamarind Hill Oerlikon,4.5,25.0,"indisch, vegetarisch",asian
Tayyeb Burger (Zürich),4.4,30.0,"snacks, burger",american
Burgermeister Enge,4.4,20.0,"amerikanisch, burger",american
Hallo Beirut,4.3,25.0,"libanesisch, falafel",middle_eastern
Rodi,4.7,30.0,"italienische pizza, kebab",middle_eastern
McDonald's® Zürich Tessinerplatz,3.7,20.0,"amerikanisch, burger",american
Asiaway,4.3,25.0,"vietnamesisch, asiatisch",asian
Restaurant and Takeaway Golden India,4.2,30.0,"indisch, indisch",asian
Crown of India Restaurant,4.6,80.0,"indisch, asiatisch",asian
Bäckerei Hug,4.4,0.0,"frühstück, lebensmittel",grocery_retail
Casa Siciliana,4.6,60.0,"italienisch, italienische pizza",european
Liquor House (Zürich),5.0,60.0,"lebensmittel, angebote",grocery_retail
Muset Restaurant (Halalfood),3.7,30.0,"italienische pizza, halal, kebab",middle_eastern
Lamky,4.6,30.0,"asiatisch, chinesisch",asian
Wangkhar Restaurant,4.3,30.0,"sushi, asiatisch",asian
Chi Chest,4.3,25.0,persisch,middle_eastern
Polo Take Away,4.3,30.0,persisch,middle_eastern
Spice Village,4.8,40.0,"indisch, asiatisch",asian
Libanès Restaurant,4.2,35.0,"libanesisch, arabisch",middle_eastern
Legend Döner,3.9,30.0,"türkisch, kebab",middle_eastern
Drink-Taxi.ch,5.0,129.0,"alkohol, getränke snacks",other
Passioni Italiane - TC Zollikerberg,4.1,30.0,"italienisch, italienische pizza",european
Restaurant Altstetten,2.3,30.0,"italienisch, burger",american
Sushi Palace Rümlang,4.7,50.0,"sushi, asiatisch",asian
Restaurant Tandoor House,4.7,35.0,"indisch, angebote",asian
drink-butler.ch,4.3,129.0,"alkohol, getränke snacks",other
Cafe Bar Balkan,5.0,35.0,"snacks, burger",american
McDonald's® Zürich Oerlikon,4.4,30.0,"amerikanisch, burger",american
BURGER KING ® Oerlikon,4.0,25.0,"amerikanisch, burger",american
SUBWAY Oerlikon,4.1,30.0,"snacks, sandwiches",american
Suan Long Zürich-Oerlikon,4.3,30.0,"thailändisch, asiatisch",asian
Cravings Supermarket & Food,4.3,0.0,"sandwiches, arabisch",middle_eastern
Dunkin' Donuts Bellevue,3.9,20.0,"frühstück, amerikanisch",american
Big Burger Kurier Zürich,4.5,30.0,"amerikanisch, burger",american
Burgermeister Oerlikon,4.0,25.0,"amerikanisch, burger",american
Ristorante Frascati,3.7,20.0,"italienisch, italienische pizza",european
Zekisworld (Oerlikon),3.9,30.0,kebab,middle_eastern
Peking Garden,4.5,70.0,"chinesisch, thailändisch",asian
Tenz Momo Bahnhof Oerlikon,4.5,30.0,"asiatisch, momos",asian
