web_scraper_order,web_scraper_start_url,name,rating,description,minimum
"1766595122-88","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","McDonald's® Zürich Langstrasse","3,6","Amerikanisch, Burger","Min. 20,00CHF"
"1766595122-89","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Restaurant Indian BBQ","4,3","Indisch, Asiatisch","Min. 20,00CHF"
"1766595122-90","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Pho 50 Stauffacherstrasse","4","Vietnamesisch, Suppen","Min. 20,00CHF"
"1766595122-91","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Spizzati Pizzeria & Piadineria","4,5","Italienisch, Italienische Pizza","Min. 30,00CHF"
"1766595122-92","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Maneez","4,3","Indisch, Hühnchen","Min. 20,00CHF"
"1766595122-93","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Restaurant Damas Wipkingen","4,2","Arabisch, Falafel","Min. 20,00CHF"
"1766595122-94","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Just Pizza","4,3","Italienische Pizza, Italienische Pizza","Min. 35,00CHF"
"1766595122-95","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Just Burger","4,1","Amerikanisch, Burger","Min. 35,00CHF"
"1766595122-96","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Restaurant Pizzeria Monti","4,9","Italienische Pizza, Burger","Min. 60,00CHF"
"1766595122-97","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Tamarind Garden","4,5","Indisch, Vegetarisch","Min. 30,00CHF"
"1766595122-98","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Pimp your Pizza","4,8","Italienische Pizza, Amerikanische Pizza","Min. 20,00CHF"
"1766595122-99","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","baba's döner (vom Holzkohlegrill)","4,5","Kebab, Lokale Geheimtipps","Min. 30,00CHF"
"1766595122-100","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","MEIXIN","4,1","Chinesisch, Asiatisch","Min. 20,00CHF"
"1766595122-101","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Pizza Bros Zürich","4,3","Italienische Pizza, Kebab","Min. 80,00CHF"
"1766595122-102","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Friends Corner","4,6","Indisch, Vegetarisch","Min. 20,00CHF"
"1766595122-103","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","House of Momos Binz","3,7","Asiatisch, Vegetarisch","Min. 45,00CHF"
"1766595122-104","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","LOLIPOP","4,4","Lebensmittel, Geschäfte","Kein Mindestbestellwert"
"1766595122-105","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Imperial Garden x Nota Sushi","5","Sushi, Asiatisch","Min. 150,00CHF"
"1766595122-106","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","JUST SMASHED© Zürich Wiedikon","3,6","Amerikanisch, Burger","Min. 35,00CHF"
"1766595122-107","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Tibetaner MOMO","4,9","Dumplings, Asiatisch","Min. 30,00CHF"
"1766595122-108","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Spizzati Pizzeria & Piadineria 2","4,6","Italienisch, Italienische Pizza","Min. 40,00CHF"
"1766595122-109","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Allegrotto Pizza Kurier","5","Falafel","Min. 20,00CHF"
"1766595122-110","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Spaccio - Löwenstrasse","4,3","Italienisch, Italienische Pizza","Min. 18,00CHF"
"1766595122-111","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Happen Afro Restaurant","5","Afrikanisch, Angebote","Min. 20,00CHF"
"1766595122-112","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","LOMO","3,6","Asiatisch, Momos","Min. 40,00CHF"
"1766595122-113","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Europa Restaurant & Piano Bar","4,8","Italienisch, Italienische Pizza","Min. 20,00CHF"
"1766595122-114","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Restaurant & Cafe Schmiede","4,3","Libanesisch, Frühstück","Min. 20,00CHF"
"1766595122-115","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Hang's Vietnamese Cuisine","4,7","Vietnamesisch, Asiatisch","Min. 20,00CHF"
"1766595122-116","https://www.just-eat.ch/lieferservice/essen/zuerich-8001","Suan Long Seefeld","4,2","Chinesisch, Thailändisch","Min. 20,00CHF"
